Volatility 3 Framework 2.28.1

PID	Process	Value	Privilege	Attributes	Description
392	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
392	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
392	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
392	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
392	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
392	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
392	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
392	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
392	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
392	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
392	smss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
392	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
392	smss.exe	26	SeSyncAgentPrivilege		Synch directory service data
392	smss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
392	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
392	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
392	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
392	smss.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
392	smss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
392	smss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
392	smss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
392	smss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
392	smss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
540	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
540	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
540	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
540	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
540	smss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
540	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
540	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
540	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
540	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
540	smss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
540	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
540	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
540	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
540	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
540	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
540	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
540	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
540	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
540	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
540	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
540	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
540	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
540	smss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
540	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
540	smss.exe	26	SeSyncAgentPrivilege		Synch directory service data
540	smss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
540	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
540	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
540	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
540	smss.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
540	smss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
540	smss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
540	smss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
540	smss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
540	smss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
552	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
552	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
552	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
552	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
552	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
552	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
552	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
552	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
552	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
552	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
552	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
552	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
552	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
552	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
552	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
552	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
552	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
552	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
552	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
552	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
552	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
552	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
552	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
552	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
552	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
552	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
552	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
552	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
552	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
552	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
552	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
552	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
552	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
552	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
552	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
636	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
636	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
636	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
636	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
636	smss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
636	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
636	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
636	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
636	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
636	smss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
636	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
636	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
636	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
636	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
636	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
636	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
636	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
636	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
636	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
636	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
636	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
636	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
636	smss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
636	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
636	smss.exe	26	SeSyncAgentPrivilege		Synch directory service data
636	smss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
636	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
636	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
636	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
636	smss.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
636	smss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
636	smss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
636	smss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
636	smss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
636	smss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
644	wininit.exe	2	SeCreateTokenPrivilege		Create a token object
644	wininit.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
644	wininit.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
644	wininit.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
644	wininit.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
644	wininit.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
644	wininit.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
644	wininit.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
644	wininit.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
644	wininit.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
644	wininit.exe	12	SeSystemtimePrivilege		Change the system time
644	wininit.exe	13	SeProfileSingleProcessPrivilege	Default	Profile a single process
644	wininit.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
644	wininit.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
644	wininit.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
644	wininit.exe	17	SeBackupPrivilege	Present	Backup files and directories
644	wininit.exe	18	SeRestorePrivilege	Present	Restore files and directories
644	wininit.exe	19	SeShutdownPrivilege	Present	Shut down the system
644	wininit.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
644	wininit.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
644	wininit.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
644	wininit.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
644	wininit.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
644	wininit.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
644	wininit.exe	26	SeSyncAgentPrivilege		Synch directory service data
644	wininit.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
644	wininit.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
644	wininit.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
644	wininit.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
644	wininit.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
644	wininit.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
644	wininit.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
644	wininit.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
644	wininit.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
644	wininit.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
652	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
652	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
652	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
652	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
652	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
652	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
652	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
652	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
652	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
652	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
652	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
652	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
652	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
652	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
652	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
652	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
652	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
652	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
652	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
652	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
652	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
652	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
652	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
652	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
652	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
652	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
652	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
652	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
652	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
652	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
652	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
652	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
652	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
652	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
652	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
740	winlogon.exe	2	SeCreateTokenPrivilege		Create a token object
740	winlogon.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
740	winlogon.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
740	winlogon.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
740	winlogon.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
740	winlogon.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
740	winlogon.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
740	winlogon.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
740	winlogon.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
740	winlogon.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
740	winlogon.exe	12	SeSystemtimePrivilege		Change the system time
740	winlogon.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
740	winlogon.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
740	winlogon.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
740	winlogon.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
740	winlogon.exe	17	SeBackupPrivilege	Present	Backup files and directories
740	winlogon.exe	18	SeRestorePrivilege	Present	Restore files and directories
740	winlogon.exe	19	SeShutdownPrivilege	Present	Shut down the system
740	winlogon.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
740	winlogon.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
740	winlogon.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
740	winlogon.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
740	winlogon.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
740	winlogon.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
740	winlogon.exe	26	SeSyncAgentPrivilege		Synch directory service data
740	winlogon.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
740	winlogon.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
740	winlogon.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
740	winlogon.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
740	winlogon.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
740	winlogon.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
740	winlogon.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
740	winlogon.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
740	winlogon.exe	35	SeCreateSymbolicLinkPrivilege	Default	Required to create a symbolic link
740	winlogon.exe	36	SeDelegateSessionUserImpersonatePrivilege	Default	Obtain an impersonation token for another user in the same session.
776	services.exe	2	SeCreateTokenPrivilege		Create a token object
776	services.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
776	services.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
776	services.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
776	services.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
776	services.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
776	services.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
776	services.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
776	services.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
776	services.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
776	services.exe	12	SeSystemtimePrivilege	Present	Change the system time
776	services.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
776	services.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
776	services.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
776	services.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
776	services.exe	17	SeBackupPrivilege	Present	Backup files and directories
776	services.exe	18	SeRestorePrivilege	Present	Restore files and directories
776	services.exe	19	SeShutdownPrivilege	Present	Shut down the system
776	services.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
776	services.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
776	services.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
776	services.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
776	services.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
776	services.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
776	services.exe	26	SeSyncAgentPrivilege		Synch directory service data
776	services.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
776	services.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
776	services.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
776	services.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
776	services.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
776	services.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
776	services.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
776	services.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
776	services.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
776	services.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
788	lsass.exe	2	SeCreateTokenPrivilege	Present,Enabled	Create a token object
788	lsass.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
788	lsass.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
788	lsass.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
788	lsass.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
788	lsass.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
788	lsass.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
788	lsass.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
788	lsass.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
788	lsass.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
788	lsass.exe	12	SeSystemtimePrivilege	Present	Change the system time
788	lsass.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
788	lsass.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
788	lsass.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
788	lsass.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
788	lsass.exe	17	SeBackupPrivilege	Present	Backup files and directories
788	lsass.exe	18	SeRestorePrivilege	Present	Restore files and directories
788	lsass.exe	19	SeShutdownPrivilege	Present	Shut down the system
788	lsass.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
788	lsass.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
788	lsass.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
788	lsass.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
788	lsass.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
788	lsass.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
788	lsass.exe	26	SeSyncAgentPrivilege		Synch directory service data
788	lsass.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
788	lsass.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
