Volatility 3 Framework 2.28.1

Offset(V)	Name	PID	PPID	Sess	JobSess	Wow64	Total	Active	Term	JobLink	Process
* 0x990ef77a5080	msedgewebview2	7932	4420	1	0	False	0	0	0	Yes	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe
0x990ef7bb0080	ShellExperienc	2040	516	1	1	False	1	1	0	N/A	(Original Process)
* 0x990ef7bb0080	ShellExperienc	2040	516	1	0	False	0	0	0	Yes	C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
0x990efacf0180	RuntimeBroker.	7044	516	1	1	False	1	1	0	N/A	(Original Process)
* 0x990efacf0180	RuntimeBroker.	7044	516	1	0	False	0	0	0	Yes	C:\Windows\System32\RuntimeBroker.exe
0x990ef01cb080	7zFM.exe	7476	4968	1	1	False	2	1	0	N/A	(Original Process)
* 0x990ef01cb080	7zFM.exe	7476	4968	1	0	False	0	0	0	Yes	C:\Program Files\7-Zip\7zFM.exe
0x990ef7d97080	SearchProtocol	4796	5220	0	0	False	1	1	0	N/A	(Original Process)
* 0x990ef7d97080	SearchProtocol	4796	5220	0	0	False	0	0	0	Yes	C:\WINDOWS\System32\SearchProtocolHost.exe
0x990ef612e080	cmd.exe	2388	6956	1	1	False	17	1	0	N/A	(Original Process)
0x990ef7e64080	conhost.exe	4812	2388	1	1	False	17	1	0	N/A	(Original Process)
0x990ef029c080	WmiPrvSE.exe	1560	516	0	0	False	5	2	0	N/A	(Original Process)
* 0x990ef260b080	WmiPrvSE.exe	8004	516	0	0	False	0	0	0	Yes	C:\WINDOWS\system32\wbem\wmiprvse.exe
* 0x990ef029c080	WmiPrvSE.exe	1560	516	0	0	False	0	0	0	Yes	C:\WINDOWS\system32\wbem\wmiprvse.exe
0x990ef4b38080	Client.exe	376	7980	1	1	False	17	1	0	N/A	(Original Process)
0x990ef8261080	cmd.exe	2380	4240	1	1	False	6	3	0	N/A	(Original Process)
* 0x990ef8261080	cmd.exe	2380	4240	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\cmd.exe
* 0x990ef240c080	conhost.exe	7924	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\conhost.exe
* 0x990efacf2080	PING.EXE	7284	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\PING.EXE
0x990ef240c080	conhost.exe	7924	2380	1	1	False	6	3	0	N/A	(Original Process)
* 0x990ef8261080	cmd.exe	2380	4240	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\cmd.exe
* 0x990ef240c080	conhost.exe	7924	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\conhost.exe
* 0x990efacf2080	PING.EXE	7284	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\PING.EXE
0x990efacf2080	PING.EXE	7284	2380	1	1	False	6	3	0	N/A	(Original Process)
* 0x990ef8261080	cmd.exe	2380	4240	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\cmd.exe
* 0x990ef240c080	conhost.exe	7924	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\conhost.exe
* 0x990efacf2080	PING.EXE	7284	2380	1	0	False	0	0	0	Yes	C:\WINDOWS\system32\PING.EXE
